cuda
tensor(0.3301, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4175, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3055, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3748, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0452, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0098, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 4 ends after 108 steps.
tensor(0.9487, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3322, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9763, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4542, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3729, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3643, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3884, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4398, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2376, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1307, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0603, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0089, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 5 ends after 91 steps.
tensor(0.4836, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1538, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8170, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2895, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7214, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3255, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4760, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2950, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4141, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2510, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0822, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0217, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0017, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 6 ends after 117 steps.
tensor(0.4289, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1325, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9779, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8990, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6509, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3393, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4659, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3096, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4448, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2949, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1789, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0524, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0180, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0079, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 7 ends after 109 steps.
tensor(0.8107, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5579, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6509, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3057, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5901, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3098, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5892, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2854, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5040, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3491, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2656, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0686, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 8 ends after 118 steps.
tensor(0.7724, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4041, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3890, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5003, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5853, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3897, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4233, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4221, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4367, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3848, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3854, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2198, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0460, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0228, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0133, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0013, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 9 ends after 77 steps.
tensor(1.7524, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.2397, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.4361, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9607, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1585, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9225, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9383, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6754, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7645, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4924, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4223, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1354, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0095, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 10 ends after 192 steps.
tensor(0.8262, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9631, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4926, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3530, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3749, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5747, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3999, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4169, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4258, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3454, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3343, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2378, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0087, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 11 ends after 93 steps.
tensor(0.9797, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5186, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7009, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2958, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4902, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4083, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4704, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4526, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4131, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4148, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2678, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1421, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0216, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 12 ends after 121 steps.
tensor(1.0006, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5679, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8373, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4639, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3978, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5748, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2919, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4269, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3871, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4238, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3617, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2661, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1224, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0266, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0048, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 13 ends after 82 steps.
tensor(0.7685, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9794, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4581, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5132, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4596, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5122, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5101, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4828, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4389, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4093, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4285, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2478, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0434, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0020, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 14 ends after 105 steps.
tensor(0.8106, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5324, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4876, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3475, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5522, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4530, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4766, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4256, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4843, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3787, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4401, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3144, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1222, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0169, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0024, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 15 ends after 99 steps.
tensor(0.8653, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4439, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3587, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6572, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3230, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5784, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4959, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2975, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3477, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5972, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3556, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4277, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2654, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1013, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0233, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 16 ends after 66 steps.
tensor(0.8727, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5719, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6699, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3813, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5634, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4618, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3867, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5148, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3608, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5148, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3573, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3892, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1798, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0256, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 17 ends after 124 steps.
tensor(0.9429, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4895, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6838, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3756, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5116, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3370, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7007, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5117, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3408, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5066, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3602, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3463, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1859, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0367, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0036, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 18 ends after 113 steps.
tensor(0.9257, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6150, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7265, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3427, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4411, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6818, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4146, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5819, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3575, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5525, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3648, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4060, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2034, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0388, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0025, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 19 ends after 111 steps.
tensor(0.7669, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8060, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3807, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8129, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5355, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4282, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4980, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3850, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5130, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3954, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4605, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4140, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2450, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1153, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0138, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 20 ends after 118 steps.
tensor(1.5254, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.8184, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.5106, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.5335, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1814, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.0001, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1207, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7261, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9093, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6226, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6763, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4721, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2819, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0500, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0030, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 21 ends after 126 steps.
tensor(0.6997, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4093, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7523, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7348, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4857, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4817, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4366, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4494, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4456, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4299, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4256, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4165, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2317, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1368, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0034, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 22 ends after 102 steps.
tensor(0.7745, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4389, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3614, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6625, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2842, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4599, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3518, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5508, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3567, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5524, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3654, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4592, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3574, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1430, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0120, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 23 ends after 100 steps.
tensor(0.8019, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4412, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6283, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5092, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3113, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3565, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6406, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3627, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5265, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3489, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4969, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3732, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3337, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1188, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0123, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 24 ends after 98 steps.
tensor(1.7692, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.6404, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.2411, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.3905, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.2371, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1748, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8350, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.0383, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6957, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8029, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5794, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5688, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3773, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1290, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0095, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 25 ends after 106 steps.
tensor(1.2169, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.7191, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.4538, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.4610, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.0319, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(1.1313, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9071, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.9827, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6958, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7562, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5711, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5533, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3585, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1004, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0267, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 26 ends after 95 steps.
tensor(0.8857, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5267, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.8424, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4196, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4898, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4274, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6472, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3884, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4782, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3700, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4970, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.4048, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1926, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0235, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 27 ends after 117 steps.
